location_code,cidade,bairro,logradouro,location,neighborhood_code,city_code
20737,sao bernardo do campo,dos alvarengas,rodovia sp 176,s.bernardo do campo|dos alvarengas|rodovia sp 176,1080,337
1569,brodowski,-,rua general carneiro,brodowski|-|rua general carneiro,1,50
25884,sao paulo,guaianases,rua cristovao mendes,s.paulo|guaianases|rua cristovao mendes,1224,358
4137,carapicuiba,cidade ariston estela azevedo,rua mirassol,carapicuiba|cidade ariston estela azevedo|rua mirassol,744,71
25776,sao paulo,grajau,rua louis daquin,s.paulo|grajau|rua louis daquin,1213,358
22744,sao lucia,lot nova santa lucia,avenida mario pavan,s.lucia|lot nova santa lucia|avenida mario pavan,3467,354
4247,carapicuiba,parque santa teresa,rua tucanos,carapicuiba|parque santa teresa|rua tucanos,4101,71
30733,sao paulo,sacoma,rua jose antonio valadares,s.paulo|sacoma|rua jose antonio valadares,4684,358
6411,ferraz de vasconcelos,cdhu fazenda itajuibe,rua oswaldino martinelli,ferraz de vasconcelos|cdhu fazenda itajuibe|rua oswaldino martinelli,502,118
16068,paulinia,parque bom retiro,rua lourenco ferrara,paulinia|parque bom retiro|rua lourenco ferrara,3809,265
24527,sao paulo,casa verde,rua antonio vera cruz,s.paulo|casa verde|rua antonio vera cruz,480,358
19482,santo andre,vila guaraciaba,rua antonio barreiros,s.andre|vila guaraciaba|rua antonio barreiros,5385,331
